tstamp,temp,hum,light,co,no2,noise
20170120044500,20.20,20.68,0,1.17,150.48,50
20170120050000,20.12,20.82,0,1.17,150.57,50
20170120051500,20.02,20.96,0,1.17,150.63,50
20170120053000,20.05,20.92,0,1.17,150.65,50
20170120054500,20.07,20.98,0,1.17,150.63,50
20170120060000,20.04,20.93,0,1.17,150.86,50
20170120061500,19.97,21.03,0,1.17,150.82,50
20170120063000,19.94,21.17,0,1.17,150.84,50
20170120064500,19.87,21.24,0,1.17,150.83,50
20170120070000,19.88,21.22,0.55,1.17,151.06,50
20170120071500,19.71,22.44,3.24,1.17,150.62,60.21
20170120073000,19.85,22.77,3,1.17,149.36,60.12
20170120074500,19.82,22.95,3.07,1.17,149.14,58.05
20170120080000,19.97,22.85,3.20,1.17,149.06,54.94
20170120081500,20.06,22.91,3.20,1.17,149.47,50
20170120083000,20.69,21.80,3.31,1.17,152,50
20170120084500,20.63,21.88,3.27,1.17,153.54,50
20170120090000,20.66,22.62,3.24,1.17,151.78,55.70
20170120091500,20.41,23.75,3.18,1.17,150.98,53.05
20170120093000,20.60,24.58,3.25,1.17,149.74,52.97
20170120094500,20.97,24.73,3.39,1.17,149.34,52.55
20170120100000,20.21,27.46,3.55,1.17,148.99,51.05
20170120101500,20.98,26.99,3.74,1.17,147.12,50.97
20170120103000,20.39,29.31,3.85,1.17,146.79,52.52
20170120104500,21.21,28.33,4,1.17,145.16,58.77
20170120110000,20.81,29.85,4.03,1.17,145.38,65.12
20170120111500,21.63,28.95,4.28,1.17,143.82,67.43
20170120113000,21.75,29.30,4.71,1.17,142.76,65.31
20170120114500,21.51,29.98,4.08,1.17,142.30,52.38
20170125140000,22.43,23.49,4.34,1.17,63.03,51.60
20170125141500,22.22,23.57,4.32,1.17,103.40,50
20170125143000,22.12,23.55,4.09,1.17,120.72,50.07
20170125144500,22,23.66,4.02,1.17,129.82,50
20170125150000,21.97,23.69,4.13,1.17,135.93,50.85
20170125151500,22.03,23.63,4.01,1.17,139.25,50.98
20170125153000,22.11,23.55,3.92,1.17,141.74,50
20170125154500,22.14,23.59,3.82,1.17,143.89,51.61
20170125160000,22.15,23.65,3.75,1.17,145.71,51.27
20170125161500,22.24,23.49,3.78,1.17,146.61,50.20
20170125163000,22.35,23.24,3.66,1.17,147.49,51.33
20170125164500,22.34,23.08,3.58,1.17,148.54,50
20170125170000,22.17,23.55,3.51,1.17,150.30,50.20
20170125171500,22.20,23.87,3.43,1.17,151.79,52.21
20170125173000,22.19,24.16,3.37,1.17,152.73,50
20170125174500,22.13,24.44,3.33,1.17,152.90,51.03
20170125180000,22.33,22.87,3.15,1.17,152.94,50.97
20170125181500,21.95,23.69,3.12,1.17,155.02,50.89
20170125183000,22.09,23.80,2.99,1.17,155.98,50
20170125184500,22.16,23.57,3.03,1.17,157.01,50
20170125190000,22.03,24.09,3.03,1.17,157.87,51.20
20170125191500,22.01,23.79,3.05,1.17,158.39,50
20170125193000,22.15,23.60,3.08,1.17,159.05,51.07
20170125194500,22.04,24.02,3.03,1.17,159.92,51.46
20170125200000,22.26,23.80,2.97,1.17,161.77,53.40
20170125201500,22.30,23.75,2.85,1.17,162.13,50.20
20170125203000,21.97,24.68,2.49,1.17,161.89,50
20170125204500,21.95,24.56,2.26,1.17,161.11,50
20170125210000,21.75,24.73,0.28,1.17,162.48,50
20170125211500,21.75,24.29,0,1.17,160.09,50
20170125213000,21.58,24,0,1.17,159.97,50
20170125214500,21.41,23.80,0,1.17,159.36,50
20170125220000,21.24,23.67,0,1.17,159.10,50
20170125221500,21.08,23.54,0,1.17,159.31,50
20170125223000,20.98,23.48,0,1.17,159.27,50
20170125224500,20.81,23.55,0,1.17,159.21,50
20170125230000,20.77,23.47,0,1.17,159.22,50
20170125231500,20.70,23.35,0,1.17,159.17,50
20170125233000,20.58,23.34,0,1.17,159.15,50
20170125234500,20.49,23.44,0,1.17,159.44,50
20170126000000,20.45,23.34,0,1.17,159.17,50
20170126001500,20.39,23.37,0,1.17,159.40,50
20170126003000,20.30,23.36,0,1.17,159.34,50
20170126004500,20.25,23.39,0,1.17,159.31,50
20170126010000,20.06,23.47,0,1.17,159.61,50
20170126011500,20.01,23.44,0,1.17,159.14,50
20170126013000,19.98,23.23,0,1.17,159.42,50
20170126014500,19.96,23.04,0,1.17,159.92,50
20170126020000,19.85,23.01,0,1.17,160.31,50
20170126021500,19.77,23.03,0,1.17,160.58,50
20170126023000,19.80,22.86,0,1.17,161.13,50
20170126024500,19.70,22.85,0,1.17,161.42,50
20170126030000,19.64,22.80,0,1.17,161.67,50
20170126031500,19.60,22.69,0,1.17,162.21,50
20170126033000,19.52,22.49,0,1.17,162.85,50
20170126034500,19.43,22.41,0,1.17,162.15,50
20170126040000,19.35,22.26,0,1.17,162.13,50
20170126041500,19.28,22.06,0,1.17,162.03,50
20170126043000,19.19,21.91,0,1.17,162.07,50
20170126044500,19.14,21.80,0,1.17,161.90,50
20170126050000,18.99,21.81,0,1.17,161.76,50
20170126051500,18.97,21.66,0,1.17,161.65,50
